#ID,radius,vdisp,surfdens
1,6.3,1.20,58.58
2,15.2,1.33,33.46
3,13.1,1.20,26.12
4,5.9,0.47,28.97
5,13.2,0.59,16.88
6,13.0,1.73,34.81
7,19.2,0.80,40.20
8,16.0,1.66,40.59
10,8.6,1.19,107.18
11,12.9,1.07,29.63
12,12.0,1.08,67.11
13,18.1,1.72,22.91
14,8.5,1.14,43.81
16,12.6,1.43,94.39
18,20.6,2.11,38.75
19,14.9,1.43,57.66
20,13.4,0.53,35.10
21,2.1,0.79,228.66
22,13.7,0.93,21.94
23,24.8,1.88,40.81
24,17.7,0.72,37.64
25,9.8,1.07,35.87
28,10.7,1.07,24.22
29,24.9,1.65,18.79
30,14.6,1.48,82.13
31,5.7,0.53,56.04
32,17.7,1.87,99.69
33,20.0,1.22,46.01
36,10.0,1.02,64.15
39,12.1,1.02,89.16
40,7.3,0.81,121.42
41,14.1,1.24,30.57
43,31.9,2.46,19.52
44,21.4,2.21,78.84
45,13.5,0.89,49.03
46,7.5,1.37,73.70
47,9.7,1.46,34.83
49,15.0,0.74,29.51
50,22.0,2.99,54.46
51,8.6,1.24,91.28
52,10.9,1.90,126.84
55,4.2,1.11,165.15
57,12.7,1.86,66.52
58,15.3,2.08,49.42
59,12.3,1.80,103.13
60,11.6,1.11,44.55
61,10.5,1.44,94.51
62,4.8,0.78,100.91
63,12.7,1.79,141.89
64,25.0,0.44,13.71
65,15.5,1.77,83.36
67,13.8,1.63,45.45
68,9.1,1.20,59.20
70,10.3,1.36,62.58
71,10.2,0.74,12.12
72,6.0,0.76,21.79
74,14.0,1.38,51.31
76,9.9,1.25,65.16
77,9.7,0.93,60.73
78,8.9,1.17,65.07
79,14.3,2.39,96.71
80,17.5,1.34,69.79
85,7.5,4.25,202.18
87,20.5,1.72,43.79
88,17.7,1.60,31.56
89,17.8,2.17,26.17
91,16.3,1.67,44.39
94,6.1,1.74,57.96
95,3.5,0.75,144.06
96,15.5,1.50,32.65
98,9.3,3.18,230.92
100,17.3,1.21,24.52
103,5.0,0.73,44.82
104,10.7,1.54,65.81
105,13.9,0.71,14.93
106,10.0,1.85,43.14
108,15.7,1.42,36.25
109,5.4,1.43,56.68
110,7.9,1.52,187.16
113,13.6,0.84,33.62
114,8.4,1.66,34.54
115,9.6,1.22,83.58
116,2.9,1.30,882.64
118,11.2,1.31,87.31
119,8.3,1.19,41.47
123,23.3,0.98,29.72
124,3.8,0.56,96.99
125,10.6,1.02,55.34
127,3.0,0.92,370.37
129,5.4,0.89,236.31
131,9.8,0.88,40.83
132,19.0,1.38,38.41
133,11.5,1.35,17.16
134,9.6,0.78,64.74
135,7.9,1.63,149.46
136,3.7,2.07,681.36
137,9.4,1.49,148.68
138,14.3,0.43,8.36
140,9.1,2.62,110.95
141,13.8,1.05,53.39
142,14.9,2.14,84.28
143,15.5,1.28,41.97
144,15.9,1.17,24.82
145,11.0,0.90,28.01
146,19.2,1.35,33.36
148,14.8,2.27,28.01
149,8.2,0.75,41.66
150,13.0,1.98,74.59
151,9.4,2.05,85.28
152,9.2,2.38,100.61
154,7.1,1.41,165.59
155,6.6,0.64,39.87
156,16.3,1.09,136.64
158,2.6,0.70,132.60
159,10.4,1.74,102.56
161,13.9,1.03,81.48
163,10.9,1.21,55.64
165,9.6,2.45,190.88
