#name,ID,R[pc],V[km/s],SurfDens[Msun/pc^2]
Bolatto,1,26.9153,6.02560,46.0098
Bolatto,2,58.8844,6.91831,17.4924
Bolatto,3,56.2341,3.31131,27.0926
Bolatto,4,114.815,6.60693,8.37240
Bolatto,5,91.2011,1.94984,11.8263
Bolatto,6,123.027,4.26580,15.9533
Bolatto,7,63.0957,6.16595,68.0534
Bolatto,8,104.713,5.75440,21.5204
Bolatto,9,67.6083,8.12831,247.087
Bolatto,10,52.4808,3.63078,50.4487
Bolatto,11,165.959,7.24436,85.6742
Bolatto,12,186.209,3.89045,22.5346
Bolatto,13,89.1251,4.57088,35.7149
Bolatto,14,117.490,4.46684,27.7236
Bolatto,15,154.882,13.4896,37.3981
Bolatto,16,17.7828,3.98107,241.463
Bolatto,17,20.8930,3.89045,152.353
Bolatto,18,41.6869,3.71535,34.9020
Bolatto,19,15.1356,1.31826,72.9206
Bolatto,20,40.7380,3.31131,15.2353
Bolatto,21,21.8776,1.69824,42.9388
Bolatto,22,27.5423,3.09030,44.9625
Bolatto,23,22.9087,3.01995,60.6527
Bolatto,24,6.60693,1.51356,135.784
Bolatto,25,22.3872,2.69153,159.533
Bolatto,26,28.8403,2.51189,103.003
Bolatto,27,70.7946,4.67735,91.8015
Bolatto,28,52.4808,5.24808,115.571
Bolatto,29,50.1187,3.38844,103.003
Bolatto,30,21.3796,4.36516,400.729
Bolatto,31,19.4984,3.16228,51.6238
Bolatto,32,53.7032,9.12011,16.7051
Bolatto,33,10.9648,1.58489,26.4759
Bolatto,34,11.2202,2.51189,39.1607
Bolatto,35,13.1826,0.758578,6.06527
Bolatto,36,28.1838,1.99526,11.5571
Bolatto,37,7.58578,0.489779,10.0658
Bolatto,38,14.7911,1.17490,9.39399
Bolatto,39,4.36516,0.812831,22.0217
Bolatto,40,28.8403,1.86209,12.6721
Bolatto,41,4.16869,0.645654,31.1064
Bolatto,42,7.76247,1.17490,8.97119
Bolatto,43,10.7152,1.04713,15.5901
Bolatto,44,19.0546,2.63027,83.7240
Bolatto,45,25.7040,3.38844,79.9558
Bolatto,46,22.3872,3.01995,118.263
Bolatto,47,7.76247,1.04713,15.5901
Bolatto,48,16.2181,2.81838,60.6527
Bolatto,49,5.49541,1.54882,50.4487
Bolatto,50,7.94328,1.00000,21.5204
Bolatto,51,4.26580,1.20226,34.1075
Bolatto,52,22.9087,7.76247,230.595
Bolatto,53,17.3780,3.01995,129.673
Bolatto,54,29.5121,5.62341,191.801
Bolatto,55,17.3780,3.54813,167.051
Bolatto,56,17.7828,2.75423,264.759
Bolatto,57,33.8844,4.07380,152.353
Bolatto,58,23.9883,4.46684,235.966
Bolatto,59,24.5471,5.88844,126.721
Bolatto,60,25.1189,5.37032,132.694
Bolatto,61,19.0546,5.24808,148.885
Bolatto,62,12.3027,2.13796,100.658
Bolatto,63,20.8930,4.36516,152.353
Bolatto,64,30.1995,4.89779,89.7119
Bolatto,65,33.8844,6.16595,121.018
Bolatto,66,34.6737,2.08930,41.0063
Bolatto,67,34.6737,4.67735,118.263
Bolatto,68,19.0546,2.88403,270.926
Bolatto,69,28.1838,2.34423,132.694
Bolatto,70,18.6209,3.09030,235.966
Bolatto,71,16.5959,2.13796,66.5044
Bolatto,72,54.9541,2.63027,39.1607
Bolatto,73,46.7735,2.95121,38.2693
Bolatto,74,41.6869,4.46684,41.9614
Bolatto,75,30.1995,5.49541,142.184
Bolatto,76,51.2861,6.30957,87.6698
Bolatto,77,25.1189,3.38844,48.1782
Bolatto,78,37.1535,4.67735,39.1607
Bolatto,79,42.6580,4.36516,72.9206
Bolatto,80,32.3594,4.36516,103.003
Bolatto,81,91.2011,4.26580,23.5966
Bolatto,82,30.9030,2.69153,39.1607
Bolatto,83,46.7735,3.38844,91.8016
Bolatto,84,29.5121,3.16228,42.9388
Bolatto,85,23.4423,2.39883,83.7240
Bolatto,86,26.9153,4.07380,112.941
Bolatto,87,31.6228,5.49541,79.9558
Bolatto,88,50.1187,4.89779,98.3671
Bolatto,89,42.6580,4.46684,57.9229
Bolatto,90,27.5423,4.16869,93.9399
Bolatto,91,26.9153,7.07946,167.051
Bolatto,92,58.8844,2.95121,30.3984
Bolatto,93,22.3872,3.09030,87.6698
Bolatto,94,19.0546,2.75423,270.926
Bolatto,95,39.8107,3.98107,76.3572
Bolatto,96,21.3796,2.88403,48.1782
Bolatto,97,30.1995,2.75423,54.0568
Bolatto,98,3.98107,4.78630,1357.84
Bolatto,99,34.6737,4.57088,132.694
Bolatto,100,16.5959,3.54813,107.857
Bolatto,101,12.8825,4.78630,270.926
Bolatto,102,30.9030,4.67735,174.924
Bolatto,103,33.8844,3.16228,52.8263
Bolatto,104,14.4544,3.89045,400.729
Bolatto,105,33.8844,3.23594,48.1781
Bolatto,106,22.9087,2.51189,167.051
Bolatto,107,8.12831,3.23594,592.721
Bolatto,108,37.1535,2.81838,37.3981
Bolatto,109,26.9153,2.57040,93.9399
Bolatto,110,38.9045,4.26580,183.168
