col1 col2 col3 col4
00117+6412 0.57 176.43841417153345 1.0956251433230566
00557+5612 1.08 180.2049749678907 0.8705548619427386
03101+5821 1.08 158.36194769905546 1.0701454888271715
03260+3111 0.23 963.2403405054602 1.2952157702074891
03260+3111NE 0.11 2105.5956203611095 1.065898879744524
03414+3200 0.34 234.17010116148364 0.815348943868321
05168+3634 2.41 657.9873023803676 1.2145301976371865
05168+3634SW 0.6 2653.9278131634824 1.108364970570999
06067+2138 0.55 263.1994525451386 1.426860651769562
06103+1523 1.97 229.77137911900073 1.0871319251577616
07024-1102 0.11 236.8795072906248 0.8450752074468536
20067+3415 1.76 400.9679159867347 1.613711451406052
20067+3415NE 0.45 1525.5170244554533 1.5585055333316347
20149+3913 0.43 2411.356801576338 1.3546682973645543
20151+3911 1.3 772.6227716428597 1.6264512786539946
21391+5802 0.32 404.30931528662416 1.1805573249760064
22198+6336 1.22 363.7471606324579 0.9385006072650988
22506+5944 1.31 185.57854296347404 1.2230234158024815
