cnum,name,glon_peak,glat_peak,ra,dec,glon_cen,glat_cen,maj,min,pos_ang,rad_txt,flux_40,err_flux_40,flux_80,err_flux_80,flux_120,err_flux_120,flux,err_flux,distance,distance_note,vhcop,widthn2hp,widthhcop,widthcs54,widthcs21,common_name,tim_distance,tim_distance_old,ionizedsoundspeed,Urquhart2011_dist,rad,mass_20K_40,mass_20K_80,mass_20K_120,vesc_20K_40,vesc_20K_80,vesc_20K_120,tim_mass_20K_40,tim_mass_20K_80,tim_mass_20K_120,tim_vesc_20K_40,tim_vesc_20K_80,tim_vesc_20K_120,apertureused,massused,massused_tim,vesc_div_vn2hp,columndensity,radius_20
1377,G008.670-00.356,8.6699,-0.35603,271.58,-21.625,8.6729,-0.36021,34.99,23.15,139,58.34,5.573,0.349,11.278,0.705,14.258,0.902,17.907,1.145,4.8,Fish2003,-999.0,7.3,6.7,7.2,-999.0,-,-999.0,-999.0,-999,0.0,58.34,3700.0,5300.0,6500.0,8.3,7.0,6.3,160.0,230.0,280.0,nan,nan,nan,120,6458.033607537389,6458.033607537389,1.1,5437.00398916681,0.4654211338651546
1421,G009.620+00.194,9.6199,0.19388,271.56,-20.528,9.6197,0.19433,25.78,22.55,173,46.92,3.638,0.232,7.25,0.462,9.042,0.588,9.744,0.645,5.7,Hofner1994,-999.0,5.3,7.7,-999.0,-999.0,-,-999.0,-999.0,-999,0.0,46.92,3400.0,4800.0,5800.0,7.3,6.1,5.5,100.0,150.0,180.0,nan,nan,nan,80,4815.931187124203,4815.931187124203,1.4,3542.9874014904485,0.5526875964648711
1497,G010.472+00.026,10.472,0.02566,272.16,-19.865,10.472,0.027588,23.57,19.08,77,37.59,9.398,0.58,16.351,1.014,19.785,1.241,20.789,1.314,10.8,Pandian2008,-999.0,8.9,9.9,-999.0,-999.0,G10.47,11200.0,11200.0,-999,0.0,37.59,31000.0,39000.0,45000.0,16.0,13.0,11.0,34000.0,42000.0,49000.0,16.0,12.0,11.0,40,31462.6300038068,31462.6300038068,1.8,8998.178106862657,1.0471975511965979
1508,G010.625-00.384,10.625,-0.38406,272.62,-19.929,10.624,-0.38274,22.47,17.07,139,31.39,9.722,0.597,16.851,1.04,19.381,1.21,20.02,1.256,3.4,Blum2001,-999.0,8.6,10.8,-999.0,-999.0,W31C,3000.0,3000.0,-999,0.0,31.39,3200.0,4000.0,4400.0,9.2,7.2,6.2,2500.0,3100.0,3400.0,9.8,7.7,6.6,120,4404.4656900073805,4404.4656900073805,1.1,9372.005754074875,0.3296733031544845
1780,G012.809-00.200,12.809,-0.20009,273.56,-17.925,12.807,-0.1984,38.81,25.33,100,66.32,15.161,0.928,37.353,2.278,49.821,3.043,60.139,3.697,3.6,Pandian2008,-999.0,6.0,9.7,-999.0,-999.0,W33,3540.0,3540.0,7620,0.0,66.32,5600.0,9900.0,13000.0,12.0,11.0,10.0,5500.0,9600.0,12000.0,12.0,11.0,10.0,120,12693.361758530658,12693.361758530658,2.0,14629.296018899286,0.34906585039886595
2152,G015.013-00.674,15.013,-0.67399,275.09,-16.211,15.009,-0.68077,66.29,24.41,3,86.37,10.736,0.689,34.54,2.141,65.326,0.0,84.379,5.225,1.6,Povich2007,-999.0,5.6,6.9,-999.0,-999.0,M17,2200.0,2200.0,-999,0.0,86.37,790.0,1800.0,3300.0,6.6,7.1,7.8,1500.0,3400.0,6200.0,5.6,6.0,6.6,120,3287.6475074109467,3287.6475074109467,1.2,10447.864422425951,0.15514037795505153
2601,G019.609-00.233,19.61,-0.23324,276.91,-11.942,19.611,-0.23323,22.39,20.1,61,38.07,5.116,0.319,9.101,0.57,10.762,0.687,10.927,0.708,12.0,Pandian2008,-999.0,8.2,11.6,-999.0,-999.0,G19.6,12520.0,12520.0,6480,0.0,38.07,21000.0,27000.0,30000.0,13.0,10.0,8.7,23000.0,29000.0,33000.0,12.0,9.7,8.5,40,21144.87388956878,21144.87388956878,1.5,4937.38740637851,1.1635528346628865
3413,G024.791+00.083,24.791,0.08256,279.05,-7.2018,24.793,0.090354,42.56,27.17,16,73.40,4.79,0.301,9.446,0.594,12.334,0.784,17.786,1.141,7.7,Vig2008,-999.0,7.2,8.7,-999.0,-999.0,G24.78,7720.0,4980.0,-999,0.0,73.4,8200.0,11000.0,14000.0,9.7,8.1,7.4,8200.0,12000.0,14000.0,9.7,8.1,7.4,80,11450.433965078166,11450.433965078166,1.3,4682.446288582949,0.7466130689086855
3782,G027.367-00.167,27.367,-0.16718,280.47,-5.0273,27.368,-0.16602,29.77,23.03,136,52.59,3.283,0.211,6.547,0.42,8.037,0.528,9.041,0.615,5.1,HHTn,91.3,5.3,6.1,-999.0,-999.0,-,5080.0,5080.0,-999,0.0,52.59,2500.0,3500.0,4100.0,6.5,5.5,4.9,2400.0,3500.0,4100.0,6.5,5.5,4.9,120,4109.543067376605,4109.543067376605,1.2,3254.1686646093317,0.49450995473172676
4266,G029.955-00.018,29.955,-0.018283,281.52,-2.6571,29.958,-0.017123,31.01,20.99,90,49.89,3.874,0.242,7.525,0.471,9.454,0.6,10.78,0.693,7.4,Fish2003,-999.0,4.0,5.8,-999.0,-999.0,-,5460.0,5460.0,-999,0.0,49.89,6100.0,8400.0,10000.0,8.5,7.1,6.4,3300.0,4600.0,5500.0,9.9,8.3,7.4,80,8424.856235221801,8424.856235221801,2.1,3771.436482801908,0.7175242480421133
