# Clump_name,velo_disp,sigma,radius
08477-4359c1,0.552,0.23,0.15
12300-6119c1,0.552,0.14,0.25
13560-6133c1,0.722,0.51,0.25
15072-5855c1,0.382,0.11,0.20
15278-5620c1,0.637,1.51,0.15
15278-5620c2,0.552,0.09,0.35
15470-5419c1,1.104,0.28,0.25
15470-5419c3,0.764,0.11,0.55
15557-5215c1,0.552,0.38,0.35
15557-5215c2,0.552,0.22,0.35
15579-5303c1,1.147,0.41,0.20
16061-5048c1,1.019,0.36,0.20
16061-5048c2,0.807,0.29,0.25
16061-5048c4,0.425,0.12,0.45
16093-5015c1,0.510,0.15,1.00
16093-5128c1,0.510,0.26,0.40
16093-5128c8,0.425,0.08,0.85
16254-4844c1,0.679,0.35,0.15
16428-4109c1,0.552,0.18,0.25
16428-4109c2,0.467,0.12,0.30
16573-4214c2,0.595,0.82,0.10
17040-3959c1,0.807,0.25,0.10
17195-3811c1,0.595,0.16,0.30
17195-3811c2,0.340,0.21,0.30
17195-3811c3,0.340,0.12,0.45
17355-3241c1,0.425,0.03,0.20
13560-6133c2,0.552,0.31,0.30
14166-6118c2,0.467,0.10,0.25
14183-6050c3,0.340,0.12,0.50
15038-5828c1,0.764,0.26,0.20
15470-5419c4,0.510,0.11,0.55
15557-5215c3,0.552,0.04,0.55
15579-5303c3,0.510,0.21,0.55
16093-5128c2,0.849,0.14,0.40
16164-4929c3,0.595,0.14,0.40
