#ID,radius,vdisp,surfdens
LMC1,6.3,1.20,58.58
LMC2,15.2,1.33,33.46
LMC3,13.1,1.20,26.12
LMC4,5.9,0.47,28.97
LMC5,13.2,0.59,16.88
LMC6,13.0,1.73,34.81
LMC7,19.2,0.80,40.20
LMC8,16.0,1.66,40.59
LMC10,8.6,1.19,107.18
LMC11,12.9,1.07,29.63
LMC12,12.0,1.08,67.11
LMC13,18.1,1.72,22.91
LMC14,8.5,1.14,43.81
LMC16,12.6,1.43,94.39
LMC18,20.6,2.11,38.75
LMC19,14.9,1.43,57.66
LMC20,13.4,0.53,35.10
LMC21,2.1,0.79,228.66
LMC22,13.7,0.93,21.94
LMC23,24.8,1.88,40.81
LMC24,17.7,0.72,37.64
LMC25,9.8,1.07,35.87
LMC28,10.7,1.07,24.22
LMC29,24.9,1.65,18.79
LMC30,14.6,1.48,82.13
LMC31,5.7,0.53,56.04
LMC32,17.7,1.87,99.69
LMC33,20.0,1.22,46.01
LMC36,10.0,1.02,64.15
LMC39,12.1,1.02,89.16
LMC40,7.3,0.81,121.42
LMC41,14.1,1.24,30.57
LMC43,31.9,2.46,19.52
LMC44,21.4,2.21,78.84
LMC45,13.5,0.89,49.03
LMC46,7.5,1.37,73.70
LMC47,9.7,1.46,34.83
LMC49,15.0,0.74,29.51
LMC50,22.0,2.99,54.46
LMC51,8.6,1.24,91.28
LMC52,10.9,1.90,126.84
LMC55,4.2,1.11,165.15
LMC57,12.7,1.86,66.52
LMC58,15.3,2.08,49.42
LMC59,12.3,1.80,103.13
LMC60,11.6,1.11,44.55
LMC61,10.5,1.44,94.51
LMC62,4.8,0.78,100.91
LMC63,12.7,1.79,141.89
LMC64,25.0,0.44,13.71
LMC65,15.5,1.77,83.36
LMC67,13.8,1.63,45.45
LMC68,9.1,1.20,59.20
LMC70,10.3,1.36,62.58
LMC71,10.2,0.74,12.12
LMC72,6.0,0.76,21.79
LMC74,14.0,1.38,51.31
LMC76,9.9,1.25,65.16
LMC77,9.7,0.93,60.73
LMC78,8.9,1.17,65.07
LMC79,14.3,2.39,96.71
LMC80,17.5,1.34,69.79
LMC85,7.5,4.25,202.18
LMC87,20.5,1.72,43.79
LMC88,17.7,1.60,31.56
LMC89,17.8,2.17,26.17
LMC91,16.3,1.67,44.39
LMC94,6.1,1.74,57.96
LMC95,3.5,0.75,144.06
LMC96,15.5,1.50,32.65
LMC98,9.3,3.18,230.92
LMC100,17.3,1.21,24.52
LMC103,5.0,0.73,44.82
LMC104,10.7,1.54,65.81
LMC105,13.9,0.71,14.93
LMC106,10.0,1.85,43.14
LMC108,15.7,1.42,36.25
LMC109,5.4,1.43,56.68
LMC110,7.9,1.52,187.16
LMC113,13.6,0.84,33.62
LMC114,8.4,1.66,34.54
LMC115,9.6,1.22,83.58
LMC116,2.9,1.30,882.64
LMC118,11.2,1.31,87.31
LMC119,8.3,1.19,41.47
LMC123,23.3,0.98,29.72
LMC124,3.8,0.56,96.99
LMC125,10.6,1.02,55.34
LMC127,3.0,0.92,370.37
LMC129,5.4,0.89,236.31
LMC131,9.8,0.88,40.83
LMC132,19.0,1.38,38.41
LMC133,11.5,1.35,17.16
LMC134,9.6,0.78,64.74
LMC135,7.9,1.63,149.46
LMC136,3.7,2.07,681.36
LMC137,9.4,1.49,148.68
LMC138,14.3,0.43,8.36
LMC140,9.1,2.62,110.95
LMC141,13.8,1.05,53.39
LMC142,14.9,2.14,84.28
LMC143,15.5,1.28,41.97
LMC144,15.9,1.17,24.82
LMC145,11.0,0.90,28.01
LMC146,19.2,1.35,33.36
LMC148,14.8,2.27,28.01
LMC149,8.2,0.75,41.66
LMC150,13.0,1.98,74.59
LMC151,9.4,2.05,85.28
LMC152,9.2,2.38,100.61
LMC154,7.1,1.41,165.59
LMC155,6.6,0.64,39.87
LMC156,16.3,1.09,136.64
LMC158,2.6,0.70,132.60
LMC159,10.4,1.74,102.56
LMC161,13.9,1.03,81.48
LMC163,10.9,1.21,55.64
LMC165,9.6,2.45,190.88
LMC166,10.3,0.44,32.48
LMC168,18.7,1.26,33.72
LMC169,6.6,1.87,113.82
LMC171,8.2,1.13,66.65
LMC172,15.6,1.65,28.55
LMC173,12.2,1.51,65.49
LMC174,10.5,0.91,65.30
LMC176,7.5,1.58,85.15
LMC177,19.4,2.68,68.92
LMC178,13.1,0.75,20.24
LMC179,9.6,1.11,79.94
LMC180,23.0,1.43,22.29
LMC182,11.8,2.40,78.05
LMC183,14.7,1.40,31.24
LMC184,17.2,1.23,35.03
LMC185,17.3,1.29,68.98
LMC186,10.5,1.17,70.38
LMC187,11.3,1.50,88.63
LMC189,4.0,1.67,253.85
LMC191,6.3,1.36,69.16
LMC192,11.5,2.45,99.55
LMC193,3.4,1.00,295.62
LMC194,11.8,0.74,43.05
LMC195,7.6,1.49,56.74
LMC196,11.4,1.27,62.07
LMC197,13.0,1.73,29.17
LMC199,9.6,1.42,68.69
LMC201,9.0,1.15,149.74
LMC202,11.2,0.82,124.16
LMC204,20.7,2.43,52.56
LMC206,12.1,1.34,38.46
LMC207,18.3,2.61,144.45
LMC209,18.8,1.61,29.09
LMC210,18.9,1.59,92.53
LMC211,15.7,1.46,47.27
LMC212,16.9,1.41,82.29
LMC213,16.1,1.54,66.89
LMC215,11.8,1.07,61.16
LMC216,12.5,0.99,45.00
LMC217,8.6,0.62,28.78
LMC218,9.8,1.46,65.04
LMC220,16.3,1.36,107.75
LMC221,33.9,2.60,61.18
LMC222,6.0,1.02,104.26
LMC223,15.0,0.30,13.82
LMC225,4.7,0.67,82.42
LMC226,8.0,1.37,60.84
LMC227,6.7,2.59,406.85
LMC228,16.4,1.88,32.60
LMC230,10.5,1.33,82.32
LMC231,15.3,1.66,107.57
LMC232,14.0,1.46,49.88
LMC233,14.6,0.87,40.08
LMC234,6.5,0.76,53.70
LMC235,24.3,1.85,49.48
LMC237,22.1,2.34,40.66
LMC238,8.1,1.13,141.74
LMC239,14.5,2.02,57.15
LMC241,12.0,1.73,89.48
LMC244,15.8,0.96,33.33
LMC245,8.2,1.51,80.82
LMC246,4.8,1.96,401.20
LMC247,11.0,0.93,36.81
LMC248,6.7,1.75,295.78
LMC249,10.6,1.97,235.09
LMC250,13.4,1.46,37.60
LMC251,16.7,1.96,67.19
LMC252,12.7,1.55,36.64
LMC254,17.8,1.27,30.94
LMC255,13.8,1.76,65.60
LMC256,12.0,1.40,50.58
LMC257,11.7,0.80,54.64
